Dijkstra GPU | Execution Time: 0.019000 seconds | Size: 100
Dijkstra CPU | Execution Time: 0.008000 seconds | Size: 100
Dijkstra GPU | Execution Time: 0.077000 seconds | Size: 200
Dijkstra CPU | Execution Time: 0.055000 seconds | Size: 200
Dijkstra GPU | Execution Time: 0.170000 seconds | Size: 300
Dijkstra CPU | Execution Time: 0.179000 seconds | Size: 300
Dijkstra GPU | Execution Time: 0.489000 seconds | Size: 500
Dijkstra CPU | Execution Time: 0.773000 seconds | Size: 500
Dijkstra GPU | Execution Time: 1.270000 seconds | Size: 800
Dijkstra CPU | Execution Time: 4.457000 seconds | Size: 800
Dijkstra GPU | Execution Time: 2.275000 seconds | Size: 1000
Dijkstra CPU | Execution Time: 8.891000 seconds | Size: 1000
Dijkstra GPU | Execution Time: 3.898000 seconds | Size: 1400
Dijkstra CPU | Execution Time: 22.510000 seconds | Size: 1400
Dijkstra GPU | Execution Time: 6.848000 seconds | Size: 1800
Dijkstra CPU | Execution Time: 50.237000 seconds | Size: 1800
Dijkstra GPU | Execution Time: 8.430000 seconds | Size: 2000
Dijkstra CPU | Execution Time: 66.317001 seconds | Size: 2000
Dijkstra GPU | Execution Time: 10.254000 seconds | Size: 2250
Dijkstra CPU | Execution Time: 105.271004 seconds | Size: 2250
Dijkstra GPU | Execution Time: 12.892000 seconds | Size: 2500
Dijkstra CPU | Execution Time: 146.216995 seconds | Size: 2500
Dijkstra GPU | Execution Time: 19.105000 seconds | Size: 3000
Dijkstra CPU | Execution Time: 266.395996 seconds | Size: 3000
Dijkstra GPU | Execution Time: 27.558001 seconds | Size: 3500
Dijkstra CPU | Execution Time: 377.384003 seconds | Size: 3500
Dijkstra GPU | Execution Time: 37.105999 seconds | Size: 4000
Dijkstra CPU | Execution Time: 540.755981 seconds | Size: 4000
