Floyd GPU | Execution Time: 0.004000 seconds | Size: 100
Floyd CPU | Execution Time: 0.003000 seconds | Size: 100
Floyd GPU | Execution Time: 0.014000 seconds | Size: 200
Floyd CPU | Execution Time: 0.024000 seconds | Size: 200
Floyd GPU | Execution Time: 0.035000 seconds | Size: 300
Floyd CPU | Execution Time: 0.081000 seconds | Size: 300
Floyd GPU | Execution Time: 0.151000 seconds | Size: 500
Floyd CPU | Execution Time: 0.390000 seconds | Size: 500
Floyd GPU | Execution Time: 0.569000 seconds | Size: 800
Floyd CPU | Execution Time: 1.817000 seconds | Size: 800
Floyd GPU | Execution Time: 1.109000 seconds | Size: 1000
Floyd CPU | Execution Time: 3.935000 seconds | Size: 1000
Floyd GPU | Execution Time: 3.076000 seconds | Size: 1400
Floyd CPU | Execution Time: 11.393000 seconds | Size: 1400
Floyd GPU | Execution Time: 6.848000 seconds | Size: 1800
Floyd CPU | Execution Time: 27.452000 seconds | Size: 1800
Floyd GPU | Execution Time: 9.102000 seconds | Size: 2000
Floyd CPU | Execution Time: 34.756001 seconds | Size: 2000
